dcid,year,total_distribution_power_line_length,cost_per_household_for_undergrounding_fire_prone_lines
geoId/060310016011,2021,579706.5530500264,0.0
geoId/060310017015,2021,198730.13414949327,0.0
geoId/060014336003,2021,4952.073200985314,0.0
geoId/060014359003,2021,8561.186835548002,0.0
geoId/060014359001,2021,7299.437234445013,0.0
geoId/060014336002,2021,7648.552281057126,0.0
geoId/060014336004,2021,4984.979558639249,0.0
geoId/060014334005,2021,2314.607784974948,0.0
geoId/060014335003,2021,5257.839438444815,0.0
geoId/060014335001,2021,3596.2589379353717,0.0
geoId/060014334006,2021,2063.9572616523387,0.0
geoId/060014335004,2021,3297.9545978836445,0.0
geoId/060014334004,2021,13302.017245340596,0.0
geoId/060014358004,2021,3521.2122326036824,0.0
geoId/060014335002,2021,2722.6126272861075,0.0
geoId/060014336001,2021,3714.193044510688,0.0
geoId/060014073001,2021,7945.503625875413,0.0
geoId/060014088004,2021,5944.517559108302,0.0
geoId/060014074001,2021,2975.34884524791,0.0
geoId/060014075002,2021,2580.278474439176,0.0
geoId/060014073002,2021,28755.079706518583,0.0
geoId/060014085001,2021,2527.234567033909,0.0
geoId/060014086001,2021,5813.853085128645,0.0
geoId/060014087004,2021,3176.5693154545434,0.0
geoId/060014087005,2021,3175.681398796856,0.0
geoId/060014087006,2021,2106.91058656867,0.0
geoId/060014087002,2021,2865.406582371891,0.0
geoId/060014086002,2021,3521.8824193777737,0.0
geoId/060014086003,2021,2368.5380804510355,0.0
geoId/061150411001,2021,107309.72409601416,18861.18729597673
geoId/060630002022,2021,91945.26446767757,92999.08165804102
geoId/060070024005,2021,91098.03416031408,49059.62352128517
geoId/060290062021,2021,570248.234455335,0.0
geoId/060290010004,2021,56023.52155481175,0.0
geoId/060290010003,2021,38059.857485464425,0.0
geoId/060750615002,2021,18922.98913121143,0.0
geoId/060750178012,2021,5178.382262214296,0.0
geoId/060750180001,2021,8861.98071424475,0.0
geoId/060750615005,2021,6627.2767754470715,0.0
geoId/060750607003,2021,2817.6725360890373,0.0
geoId/060750607001,2021,44323.59133016129,0.0
geoId/060750615003,2021,12185.06585855906,0.0
geoId/060750615001,2021,39771.56631861066,0.0
geoId/060750615004,2021,2872.132879219939,0.0
geoId/060190018003,2021,74494.70163379403,0.0
geoId/060190076002,2021,317064.5479278716,0.0
geoId/060190076001,2021,118444.64163197772,0.0
geoId/060190076003,2021,106957.44321234894,0.0
geoId/060190076004,2021,81596.5495603584,0.0
geoId/060190018004,2021,22903.757091920656,0.0
geoId/060190019003,2021,72883.90567828764,0.0
geoId/060855071002,2021,8410.759105728102,0.0
geoId/060855070013,2021,7320.462468852656,0.0
geoId/060855071001,2021,8537.573054263776,0.0
geoId/060855070011,2021,14121.630392993868,120.1162004431451
geoId/060855068011,2021,13320.929582910028,0.0
geoId/060855070012,2021,35072.16147334821,22196.784954180737
geoId/060530122002,2021,9240.405987994764,0.0
geoId/060530127002,2021,19986.29131237808,0.0
geoId/060530125022,2021,9484.612567458238,0.0
geoId/060530133002,2021,8468.015962303072,0.0
geoId/060530130002,2021,5925.108697392912,0.0
geoId/060530133003,2021,3186.9505193580267,0.0
geoId/060530126001,2021,14198.879754588896,47461.13380583205
geoId/060530124011,2021,4861.399358817973,0.0
geoId/060530133004,2021,5218.262661266806,0.0
geoId/060530133001,2021,16963.062396500423,0.0
geoId/060530125021,2021,4615.006501343483,0.0
geoId/060530130003,2021,2133.7813130415534,0.0
geoId/060530122001,2021,2438.079393821685,0.0
geoId/060530123021,2021,7681.032865745777,0.0
geoId/060530127001,2021,1407.0719899033525,0.0
geoId/060530125023,2021,4575.198645003106,0.0
geoId/060816080231,2021,5425.762988872627,0.0
geoId/060816086002,2021,19200.85485047745,0.0
geoId/060816080232,2021,7769.47245946153,0.0
geoId/060816080131,2021,10197.700617191978,0.0
geoId/060816080132,2021,4089.942937582647,0.0
geoId/060816080133,2021,3661.380747725788,0.0
geoId/060816084002,2021,4309.304198590912,0.0
geoId/060816080021,2021,7483.805983612832,0.0
geoId/060816080043,2021,6196.152717126954,0.0
geoId/060816080042,2021,8450.817580848576,0.0
geoId/060816080022,2021,3906.803399130691,0.0
geoId/060816080023,2021,2550.8552972548127,0.0
geoId/060816103042,2021,19082.34190279691,0.0
geoId/060816103043,2021,18544.08744482617,0.0
geoId/060816084003,2021,3990.078116066068,0.0
geoId/060190074003,2021,14278.114710236916,0.0
geoId/060190074001,2021,91407.3831941152,0.0
geoId/060190074002,2021,175470.58388053204,0.0
geoId/060310002001,2021,131118.76700565827,0.0
geoId/060610206013,2021,27799.16146330745,0.0
geoId/060610206012,2021,72549.78646338789,37073.87671344097
geoId/060610206011,2021,17576.93237829461,0.0
geoId/060190083023,2021,323094.7361469401,0.0
geoId/060190079021,2021,315691.3509072951,80095.9311364061
geoId/060190082006,2021,343668.64355219685,0.0
geoId/060190079022,2021,365042.38765275344,0.0
geoId/060610216041,2021,92805.71880949692,111909.86506972298
geoId/060610215011,2021,42849.541001975536,86934.75216050439
geoId/060610205011,2021,38857.61390024443,16870.184808835802
geoId/060610213041,2021,174444.35707747686,44908.09958755996
geoId/060610205013,2021,50698.18148247552,44401.292540973445
geoId/060610216042,2021,106391.70931939578,109802.52899611591
geoId/060610215013,2021,47714.48455197798,74572.22879142656
geoId/060610213043,2021,77778.70144229718,1239.8539035757394
geoId/060552015002,2021,103067.69190422744,5120.8219131224105
geoId/060552014032,2021,67210.61838115208,413532.339111469
geoId/060552017001,2021,91768.6266725943,176917.92594263543
geoId/060552017006,2021,29531.77182803742,41961.88999695182
geoId/060552016024,2021,10379.483473028406,0.0
geoId/060552016012,2021,20176.85285215404,11874.90772727497
geoId/060552018001,2021,156001.99722512328,112661.1204130884
geoId/060552014011,2021,132244.2904685114,153255.8439596313
geoId/060952529042,2021,102106.16728995,0.0
geoId/060014060001,2021,18941.06578857409,0.0
geoId/060014033001,2021,13572.371412717102,0.0
geoId/060019832001,2021,17091.1798638741,0.0
geoId/060014060003,2021,3528.1541589775884,0.0
geoId/060014060002,2021,1772.607448610089,0.0
geoId/060014054021,2021,2095.7625116119902,0.0
geoId/060750105002,2021,9953.092064424323,0.0
geoId/060090003003,2021,31416.28880571716,25014.55454210809
geoId/060090003004,2021,196950.61709908312,176031.3659488381
geoId/060090003002,2021,56728.77882013204,33238.11008731818
geoId/060090003005,2021,95632.1598294264,63168.43989180271
geoId/060090002202,2021,141913.14211769242,31809.496839399315
geoId/060090003001,2021,103368.20391555905,148957.64149047868
geoId/060090004005,2021,62059.621864756824,23960.748407379255
geoId/060090001222,2021,63228.753705785304,310381.5988845463
geoId/060090001212,2021,84946.69275159415,46884.633898137414
geoId/060090004006,2021,61329.240357887815,43991.2787719866
geoId/060952509002,2021,6764.251184636966,0.0
geoId/060952509001,2021,5510.8406052253085,0.0
geoId/060952516002,2021,7422.542605169047,0.0
geoId/060952515003,2021,5775.4090668369145,0.0
geoId/060952516001,2021,2779.9300400675643,0.0
geoId/060952512001,2021,6789.26613976616,0.0
geoId/060952510002,2021,2134.326495297192,0.0
geoId/060952515002,2021,7244.218537288718,0.0
geoId/060952512002,2021,7029.619959964843,0.0
geoId/060952510001,2021,2791.927030468404,0.0
geoId/060170312001,2021,47880.59022273589,5957.431029261824
geoId/060170313013,2021,42559.17880568127,8546.07172118318
geoId/060170313012,2021,36393.07065613292,0.0
geoId/060170311003,2021,92779.45337748904,22305.898146438296
geoId/060170314041,2021,77687.37322068102,2189.2772267655255
geoId/060170312002,2021,43939.973418188805,16791.3261650111
geoId/060170311001,2021,23952.534861479107,2480.1758850941223
geoId/060816002002,2021,10115.035048373373,0.0
geoId/060750264041,2021,1825.9826464259888,0.0
geoId/060750260012,2021,2995.9128302371264,0.0
geoId/060750260041,2021,3938.155916644938,0.0
geoId/060750261001,2021,3210.6617216314753,0.0
geoId/060816001001,2021,46176.49649239393,0.0
geoId/060759805011,2021,5434.294121892673,0.0
geoId/060816002001,2021,9965.903069442516,0.0
geoId/060750263023,2021,7992.994513397532,0.0
geoId/060750260032,2021,1851.8864760514864,0.0
geoId/060750260042,2021,1698.651160461133,0.0
geoId/060750263011,2021,4194.572855851299,0.0
geoId/060750605023,2021,3327.7930057512813,0.0
geoId/060014324001,2021,20127.54983234754,0.0
geoId/060014325011,2021,7793.5098020106225,0.0
geoId/060014331043,2021,6576.343754821112,0.0
geoId/060014332004,2021,21744.378969828507,0.0
geoId/060014331042,2021,1518.9490399797492,0.0
geoId/060014331041,2021,13319.389976363502,0.0
geoId/060014326005,2021,8938.404887432625,0.0
geoId/060014325013,2021,6329.1196845996055,0.0
geoId/060855051001,2021,27834.19833743813,0.0
geoId/060855002003,2021,6166.1588167231075,0.0
geoId/060855002004,2021,11088.852184630432,0.0
geoId/060855010002,2021,1939.9952654408248,0.0
geoId/060855002001,2021,11715.258861617993,0.0
geoId/060855011011,2021,7838.285728638647,0.0
geoId/060855011022,2021,3686.869192933648,0.0
geoId/060855003001,2021,30914.340384328912,0.0
geoId/060855011023,2021,2962.170090822116,0.0
geoId/060855011012,2021,5161.862863376584,0.0
geoId/060855001004,2021,6705.876941594483,0.0
geoId/060855001001,2021,6658.341316729007,0.0
geoId/060770038013,2021,10159.295044689776,0.0
geoId/060770008012,2021,22773.175961026685,0.0
geoId/060770038011,2021,33055.34386709784,0.0
geoId/060770038012,2021,8857.745495613706,0.0
geoId/060770025031,2021,7952.087784676759,0.0
geoId/060770003002,2021,14231.214290471467,0.0
geoId/060770007003,2021,8418.269692702535,0.0
geoId/060770025041,2021,8083.884192156791,0.0
geoId/060770025032,2021,4353.609631825984,0.0
geoId/060770007004,2021,5825.3633508958765,0.0
geoId/060770049012,2021,21876.152264653392,0.0
geoId/060770049013,2021,17295.55195460048,0.0
geoId/060770049011,2021,18714.42107808417,0.0
geoId/060770049022,2021,81731.83627852009,0.0
geoId/060990001014,2021,46850.28090618519,0.0
geoId/060770049021,2021,123730.63183001029,0.0
geoId/060770049023,2021,110714.31829808852,0.0
geoId/060990001013,2021,66409.13001589822,0.0
geoId/060790123023,2021,233831.00718918763,212898.6682451261
geoId/060830020062,2021,126094.31084124894,18396.150632591565
geoId/060830019011,2021,237085.8887040015,301201.07567671686
geoId/060830020061,2021,283393.3891358541,226784.4576755349
geoId/060830022112,2021,14061.253869892324,0.0
geoId/060830022114,2021,9095.541727847149,0.0
geoId/060790127021,2021,427369.0530099267,394559.7158198034
geoId/060133451052,2021,7976.527993028973,0.0
geoId/060133452032,2021,15839.9425112975,0.0
geoId/060133462031,2021,23707.844186366412,42.91960460374398
geoId/060133451144,2021,7744.946142286493,0.0
geoId/060133451143,2021,22473.541337266724,1376.6980384667452
geoId/060133451051,2021,20156.66796625329,0.0
geoId/060133451054,2021,10445.517432031203,0.0
geoId/060133452033,2021,10951.20573295991,0.0
geoId/060133451141,2021,10556.422718966469,0.0
geoId/060133451053,2021,8992.952635985826,0.0
geoId/060133462041,2021,33556.91280820294,903.535334609426
geoId/060770040021,2021,78922.13229107109,0.0
geoId/060770040011,2021,237828.58331218892,0.0
geoId/060014419232,2021,21563.74235106933,0.0
geoId/060014419271,2021,5188.7117607704995,0.0
geoId/060014425001,2021,5380.786391010553,0.0
geoId/060014419272,2021,6612.621653543965,0.0
geoId/060014419262,2021,2846.366621091914,0.0
geoId/060014419212,2021,7924.97014609702,0.0
geoId/060014425003,2021,4676.077781447523,0.0
geoId/060014419261,2021,4027.188947244711,0.0
geoId/060014419211,2021,7417.828590686429,0.0
geoId/060014424001,2021,4804.938922660114,0.0
geoId/060014424002,2021,5093.894956518807,0.0
geoId/060014424004,2021,5241.8199002932615,0.0
geoId/060014419252,2021,22561.58580707656,0.0
geoId/060610234001,2021,49172.79251893157,0.0
geoId/060610234002,2021,11092.859233788073,0.0
geoId/060610214011,2021,13852.11118722431,0.0
geoId/060610213044,2021,71643.30803442415,0.0
geoId/060070012003,2021,33889.193646980566,0.0
geoId/060070013003,2021,20681.37351075044,0.0
geoId/060070012001,2021,3605.525755299942,0.0
geoId/060070013004,2021,4431.289153097156,0.0
geoId/060070013002,2021,4720.141842207071,0.0
geoId/060070012004,2021,4669.031936777984,0.0
geoId/060070012002,2021,2132.8331893029795,0.0
geoId/060133340062,2021,18559.7590013782,0.0
geoId/060133373001,2021,8079.811241760155,0.0
geoId/060133382012,2021,26708.21978330405,0.0
geoId/060133373005,2021,4917.884817316596,0.0
geoId/060133371001,2021,12406.714877727698,0.0
geoId/060133373004,2021,7058.386315687264,0.0
geoId/060133372006,2021,6449.3576263251225,0.0
geoId/060133373002,2021,7294.4606884348195,0.0
geoId/060133373003,2021,4294.81808658597,0.0
geoId/060133372005,2021,7890.894021368822,0.0
geoId/060133382011,2021,12523.653226980236,0.0
geoId/060133340042,2021,14394.591021680602,0.0
geoId/060133340044,2021,8396.121802497615,0.0
geoId/060133340061,2021,5527.442282557868,0.0
geoId/060133373006,2021,6561.456380692399,0.0
geoId/060133553011,2021,31625.841337670612,5809.91756928728
geoId/060133340041,2021,9895.694918109786,0.0
geoId/060530103061,2021,109627.14131865684,0.0
geoId/060530105041,2021,78936.74260960546,0.0
geoId/060530141021,2021,25218.40901469953,0.0
geoId/060530106061,2021,236751.8265915296,26155.15617728775
geoId/060530104003,2021,7592.894713591883,0.0
geoId/060530143021,2021,25035.06141108496,0.0
geoId/060530018011,2021,10377.508405951296,0.0
geoId/060770009005,2021,5779.272972202933,0.0
geoId/060770011025,2021,3313.1985647273186,0.0
geoId/060770010002,2021,8330.673403831137,0.0
geoId/060770009002,2021,11483.101059725772,0.0
geoId/060770011023,2021,4573.348126917745,0.0
geoId/060770009004,2021,4403.483795291067,0.0
geoId/060770009003,2021,3415.544877007271,0.0
geoId/060770009001,2021,4771.12739933234,0.0
geoId/060770011013,2021,7712.192510524779,0.0
geoId/060070021002,2021,6099.030906502133,0.0
geoId/060070021003,2021,9395.081346542576,12608.84524553646
geoId/060070018001,2021,22632.7203352608,42039.28974221812
geoId/060070018002,2021,6797.549896952292,7063.65268311194
geoId/060070018004,2021,10157.39812904134,0.0
geoId/060070021001,2021,16768.974619442783,0.0
geoId/060070018003,2021,9668.166550294796,0.0
geoId/060070019001,2021,4741.841245345147,21912.03440369807
geoId/060070018005,2021,6548.779071521304,0.0
geoId/060750164001,2021,4687.040707849731,0.0
geoId/060750158022,2021,3894.505188783614,0.0
geoId/060750167001,2021,2123.053802855984,0.0
geoId/060750167002,2021,2033.1210521551795,0.0
geoId/060750169002,2021,3654.242754184004,0.0
geoId/060750169001,2021,3875.929353978957,0.0
geoId/060750203003,2021,3597.772551141726,0.0
geoId/060750167003,2021,1585.1192789978436,0.0
geoId/060750170001,2021,2412.496624533525,0.0
geoId/060750167004,2021,2577.0183762996508,0.0
geoId/060750158012,2021,10731.450640072837,0.0
geoId/060750168011,2021,2012.585842168132,0.0
geoId/060750168022,2021,1999.3735860676315,0.0
geoId/060750163003,2021,2979.237195137337,0.0
geoId/060190018002,2021,13706.618682092036,0.0
geoId/060190017003,2021,91044.48639023096,0.0
geoId/060190017001,2021,56803.88205428117,0.0
geoId/060855119113,2021,35294.480054203435,22388.759440948692
geoId/060855119092,2021,23530.311426641303,15789.82795238166
geoId/060855119093,2021,16392.001629886618,196.483625290948
geoId/060855119121,2021,15226.14391503398,4338.637171980563
geoId/060855119112,2021,44809.81358450624,73227.26092075082
geoId/060855119123,2021,5659.552346115239,0.0
geoId/060855119072,2021,11259.954806952175,2344.218632909752
geoId/060855119122,2021,11619.562067132403,5496.312058662185
geoId/060855119162,2021,18657.112924538334,126.70049078064902
geoId/060855118003,2021,71739.5278020137,186140.5588595341
geoId/060855119051,2021,19051.02936787269,0.0
geoId/060855119071,2021,5950.09603429064,0.0
geoId/060855119142,2021,20597.3479559236,4413.68365742103
geoId/060855119111,2021,11952.34042366185,0.0
geoId/060855119132,2021,10040.36046758162,11569.07049415662
geoId/060855120301,2021,8224.470009601397,0.0
geoId/060855050061,2021,57147.53285827058,0.0
geoId/060855045052,2021,6030.996717482317,0.0
geoId/060855045051,2021,2579.003480113296,0.0
geoId/060855043181,2021,40196.2271860743,0.0
geoId/060855045053,2021,21293.75323162254,0.0
geoId/060014517031,2021,7453.364337524873,0.0
geoId/060014517032,2021,16738.537672153183,0.0
geoId/060014517042,2021,10294.046074254884,0.0
geoId/060014513003,2021,56034.015365968495,3571.99007897936
geoId/060014516021,2021,17380.13577823557,0.0
geoId/060014517012,2021,4462.768096644442,0.0
geoId/060014517011,2021,4921.028694453127,0.0
geoId/060014514042,2021,4799.65086668051,0.0
geoId/060190060001,2021,42556.3975625141,0.0
geoId/060190060004,2021,9966.673251262717,0.0
geoId/060190060003,2021,6138.471503429128,0.0
geoId/060190059042,2021,76050.24048302407,0.0
geoId/060190059051,2021,75870.31656971008,0.0
geoId/060190060002,2021,3924.825396836795,0.0
geoId/060190061005,2021,38189.491957353486,0.0
geoId/060750264032,2021,4582.411574855155,0.0
geoId/060750264031,2021,3512.8136300850856,0.0
geoId/060816091001,2021,21390.441190681217,0.0
geoId/060816087002,2021,5881.680560957355,0.0
geoId/060816089003,2021,6865.834965105854,2376.7621276384743
geoId/060816089001,2021,7779.224525479183,3797.437364573575
geoId/060816087004,2021,6131.226273661624,0.0
geoId/060816086003,2021,8252.74806612351,0.0
geoId/060816089002,2021,5154.634228965949,0.0
geoId/060816090002,2021,7383.717077142685,0.0
geoId/060816087005,2021,6764.428569056152,0.0
geoId/060816087001,2021,7242.558747128642,0.0
geoId/060816072002,2021,7641.580428614694,0.0
geoId/060816085021,2021,8970.070376582606,0.0
geoId/060816088002,2021,4444.727748132885,0.0
geoId/060816088004,2021,4780.0070854895475,0.0
