dcid,year,n_days_extreme_2014
zip/02210,2014,0.0
zip/02543,2014,89.0
zip/02554,2014,15.0
zip/02721,2014,5.0
zip/02841,2014,6.0
zip/02852,2014,6.0
zip/02905,2014,8.0
zip/04101,2014,0.0
zip/04631,2014,0.0
zip/06608,2014,0.0
zip/08204,2014,1.0
zip/08401,2014,5.0
zip/10004,2014,2.0
zip/10303,2014,1.0
zip/11024,2014,0.0
zip/11954,2014,42.0
zip/19147,2014,0.0
zip/19958,2014,4.0
zip/21402,2014,24.0
zip/21613,2014,21.0
zip/21620,2014,28.0
zip/22511,2014,27.0
zip/22578,2014,42.0
zip/27959,2014,56.0
zip/28401,2014,3.0
zip/28516,2014,8.0
zip/29401,2014,2.0
zip/31328,2014,2.0
zip/32034,2014,2.0
zip/32320,2014,28.0
zip/32502,2014,31.0
zip/32625,2014,15.0
zip/32920,2014,12.0
zip/33040,2014,33.0
zip/33050,2014,64.0
zip/33149,2014,10.0
zip/33767,2014,32.0
zip/34221,2014,20.0
zip/70358,2014,38.0
zip/77539,2014,36.0
zip/77550,2014,28.0
zip/77571,2014,27.0
zip/78382,2014,28.0
zip/78578,2014,17.0
zip/90401,2014,0.0
zip/90731,2014,0.0
zip/92037,2014,2.0
zip/92132,2014,0.0
zip/94063,2014,0.0
zip/94129,2014,0.0
zip/94501,2014,0.0
zip/94801,2014,0.0
zip/95468,2014,3.0
zip/95531,2014,0.0
zip/95564,2014,0.0
zip/96720,2014,31.0
zip/96743,2014,56.0
zip/96744,2014,17.0
zip/96766,2014,66.0
zip/96813,2014,77.0
zip/97103,2014,0.0
zip/97366,2014,0.0
zip/97420,2014,0.0
zip/98104,2014,0.0
zip/98250,2014,0.0
zip/98357,2014,0.0
zip/98363,2014,0.0
zip/98368,2014,0.0
zip/98421,2014,0.0
zip/98590,2014,3.0
zip/99501,2014,0.0
zip/99611,2014,0.0
zip/99615,2014,0.0
zip/99663,2014,0.0
zip/99664,2014,0.0
zip/99685,2014,5.0
zip/99689,2014,0.0
zip/99835,2014,0.0
zip/99840,2014,0.0
zip/99901,2014,0.0
